Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fx Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
0.0000,-1.6533
0.0040,1.6533
0.0080,8.2663
0.0120,3.3065
0.0160,-3.3065
0.0200,0.0000
0.0240,8.2663
0.0280,4.9598
0.0320,-1.6533
0.0360,0.0000
0.0400,6.6131
0.0440,9.9196
0.0480,-1.6533
0.0520,-1.6533
0.0560,4.9598
0.0600,8.2663
0.0640,0.0000
0.0680,-4.9598
0.0720,1.6533
0.0760,8.2663
0.0800,6.6131
0.0840,-3.3065
0.0880,6.6131
0.0920,14.8794
0.0960,9.9196
0.1000,1.6533
0.1040,6.6131
0.1080,13.2261
0.1120,14.8794
0.1160,6.6131
0.1200,9.9196
0.1240,16.5327
0.1280,13.2261
0.1320,4.9598
0.1360,6.6131
0.1400,18.1859
0.1440,14.8794
0.1480,9.9196
0.1520,11.5729
0.1560,18.1859
0.1600,23.1457
0.1640,19.8392
0.1680,16.5327
0.1720,23.1457
0.1760,26.4523
0.1800,28.1055
0.1840,19.8392
0.1880,29.7588
0.1920,34.7186
0.1960,29.7588
0.2000,23.1457
0.2040,36.3719
0.2080,46.2915
0.2120,39.6784
0.2160,38.0252
0.2200,42.9850
0.2240,47.9448
0.2280,52.9046
0.2320,42.9850
0.2360,52.9046
0.2400,59.5176
0.2440,59.5176
0.2480,59.5176
0.2520,62.8242
0.2560,67.7840
0.2600,71.0905
0.2640,71.0905
0.2680,67.7840
0.2720,76.0503
0.2760,82.6634
0.2800,81.0101
0.2840,81.0101
0.2880,87.6232
0.2920,95.8895
0.2960,100.8493
0.3000,92.5830
0.3040,99.1960
0.3080,110.7689
0.3120,110.7689
0.3160,109.1157
0.3200,117.3820
0.3240,125.6483
0.3280,123.9951
0.3320,122.3418
0.3360,127.3016
0.3400,135.5679
0.3440,135.5679
0.3480,133.9147
0.3520,138.8745
0.3560,148.7941
0.3600,150.4473
0.3640,150.4473
0.3680,148.7941
0.3720,162.0202
0.3760,165.3268
0.3800,163.6735
0.3840,163.6735
0.3880,170.2865
0.3920,175.2464
0.3960,175.2464
0.4000,171.9398
0.4040,175.2464
0.4080,185.1659
0.4120,185.1659
0.4160,183.5127
0.4200,181.8594
0.4240,200.0453
0.4280,195.0855
0.4320,190.1257
0.4360,201.6986
0.4400,208.3117
0.4440,214.9248
0.4480,211.6182
0.4520,209.9650
0.4560,221.5378
0.4600,223.1911
0.4640,221.5378
