Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fy Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
0.0000,236.7459
0.0040,238.4015
0.0080,213.5680
0.0120,226.8125
0.0160,243.3682
0.0200,236.7459
0.0240,201.9790
0.0280,220.1903
0.0320,245.0237
0.0360,253.3016
0.0400,220.1903
0.0440,230.1237
0.0480,241.7126
0.0520,241.7126
0.0560,226.8125
0.0600,221.8458
0.0640,231.7792
0.0680,251.6460
0.0720,228.4681
0.0760,220.1903
0.0800,213.5680
0.0840,241.7126
0.0880,226.8125
0.0920,211.9124
0.0960,235.0903
0.1000,245.0237
0.1040,241.7126
0.1080,216.8791
0.1120,228.4681
0.1160,246.6793
0.1200,226.8125
0.1240,210.2569
0.1280,208.6013
0.1320,235.0903
0.1360,233.4348
0.1400,205.2902
0.1440,213.5680
0.1480,231.7792
0.1520,230.1237
0.1560,218.5347
0.1600,200.3235
0.1640,236.7459
0.1680,241.7126
0.1720,235.0903
0.1760,211.9124
0.1800,238.4015
0.1840,251.6460
0.1880,226.8125
0.1920,213.5680
0.1960,220.1903
0.2000,236.7459
0.2040,235.0903
0.2080,206.9457
0.2120,225.1570
0.2160,243.3682
0.2200,228.4681
0.2240,198.6679
0.2280,215.2236
0.2320,230.1237
0.2360,238.4015
0.2400,205.2902
0.2440,213.5680
0.2480,233.4348
0.2520,231.7792
0.2560,221.8458
0.2600,215.2236
0.2640,228.4681
0.2680,233.4348
0.2720,221.8458
0.2760,213.5680
0.2800,228.4681
0.2840,230.1237
0.2880,216.8791
0.2920,201.9790
0.2960,223.5014
0.3000,231.7792
0.3040,215.2236
0.3080,215.2236
0.3120,203.6346
0.3160,246.6793
0.3200,216.8791
0.3240,218.5347
0.3280,211.9124
0.3320,231.7792
0.3360,215.2236
0.3400,203.6346
0.3440,210.2569
0.3480,228.4681
0.3520,236.7459
0.3560,225.1570
0.3600,208.6013
0.3640,233.4348
0.3680,230.1237
0.3720,218.5347
0.3760,205.2902
0.3800,216.8791
0.3840,233.4348
0.3880,200.3235
0.3920,206.9457
0.3960,205.2902
0.4000,235.0903
0.4040,215.2236
0.4080,203.6346
0.4120,203.6346
0.4160,223.5014
0.4200,205.2902
0.4240,206.9457
0.4280,216.8791
0.4320,220.1903
0.4360,213.5680
0.4400,201.9790
0.4440,203.6346
0.4480,226.8125
0.4520,211.9124
0.4560,188.7345
0.4600,195.3568
0.4640,200.3235
0.4680,221.8458
