Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fz Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
0.0000,1923.5031
0.0040,1909.9094
0.0080,1906.5110
0.0120,1916.7062
0.0160,1920.1046
0.0200,1899.7141
0.0240,1909.9094
0.0280,1940.4951
0.0320,1889.5188
0.0360,1909.9094
0.0400,1926.9014
0.0440,1886.1205
0.0480,1950.6903
0.0520,1943.8934
0.0560,1862.3315
0.0600,1899.7141
0.0640,1940.4951
0.0680,1930.2998
0.0720,1920.1046
0.0760,1920.1046
0.0800,1882.7220
0.0840,1892.9174
0.0880,1943.8934
0.0920,1933.6982
0.0960,1913.3077
0.1000,1899.7141
0.1040,1903.1124
0.1080,1913.3077
0.1120,1950.6903
0.1160,1926.9014
0.1200,1889.5188
0.1240,1903.1124
0.1280,1913.3077
0.1320,1950.6903
0.1360,1933.6982
0.1400,1872.5267
0.1440,1899.7141
0.1480,1947.2920
0.1520,1923.5031
0.1560,1903.1124
0.1600,1920.1046
0.1640,1906.5110
0.1680,1906.5110
0.1720,1920.1046
0.1760,1916.7062
0.1800,1923.5031
0.1840,1909.9094
0.1880,1903.1124
0.1920,1909.9094
0.1960,1913.3077
0.2000,1920.1046
0.2040,1906.5110
0.2080,1903.1124
0.2120,1920.1046
0.2160,1920.1046
0.2200,1906.5110
0.2240,1909.9094
0.2280,1930.2998
0.2320,1926.9014
0.2360,1913.3077
0.2400,1896.3157
0.2440,1923.5031
0.2480,1937.0967
0.2520,1909.9094
0.2560,1903.1124
0.2600,1913.3077
0.2640,1930.2998
0.2680,1920.1046
0.2720,1909.9094
0.2760,1909.9094
0.2800,1923.5031
0.2840,1926.9014
0.2880,1913.3077
0.2920,1923.5031
0.2960,1926.9014
0.3000,1926.9014
0.3040,1913.3077
0.3080,1913.3077
0.3120,1937.0967
0.3160,1933.6982
0.3200,1903.1124
0.3240,1903.1124
0.3280,1916.7062
0.3320,1933.6982
0.3360,1923.5031
0.3400,1909.9094
0.3440,1913.3077
0.3480,1926.9014
0.3520,1920.1046
0.3560,1909.9094
0.3600,1916.7062
0.3640,1923.5031
0.3680,1913.3077
0.3720,1916.7062
0.3760,1920.1046
0.3800,1923.5031
0.3840,1916.7062
0.3880,1906.5110
0.3920,1920.1046
0.3960,1933.6982
0.4000,1926.9014
0.4040,1903.1124
0.4080,1906.5110
0.4120,1926.9014
0.4160,1933.6982
0.4200,1913.3077
0.4240,1906.5110
