Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Mx Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
0.0000,-241.7318
0.0040,-245.5824
0.0080,-246.8659
0.0120,-241.7318
0.0160,-243.0153
0.0200,-245.3684
0.0240,-239.5925
0.0280,-236.1698
0.0320,-238.5229
0.0360,-241.7318
0.0400,-240.4482
0.0440,-235.5280
0.0480,-234.0306
0.0520,-239.1647
0.0560,-236.3837
0.0600,-235.5280
0.0640,-236.5976
0.0680,-234.2445
0.0720,-235.7420
0.0760,-235.5280
0.0800,-232.9610
0.0840,-236.3837
0.0880,-234.8862
0.0920,-229.7521
0.0960,-231.0357
0.1000,-236.5976
0.1040,-234.6723
0.1080,-231.4635
0.1120,-228.2547
0.1160,-227.1851
0.1200,-235.1002
0.1240,-235.7420
0.1280,-230.8217
0.1320,-224.1902
0.1360,-230.6078
0.1400,-234.8862
0.1440,-230.6078
0.1480,-225.6876
0.1520,-229.5382
0.1560,-234.8862
0.1600,-231.4635
0.1640,-227.6129
0.1680,-231.0357
0.1720,-231.6774
0.1760,-228.2547
0.1800,-226.3294
0.1840,-227.6129
0.1880,-232.5331
0.1920,-229.9660
0.1960,-228.4686
0.2000,-227.6129
0.2040,-229.9660
0.2080,-231.4635
0.2120,-226.5433
0.2160,-226.9711
0.2200,-229.5382
0.2240,-230.3939
0.2280,-223.7623
0.2320,-226.1154
0.2360,-227.3990
0.2400,-231.0357
0.2440,-226.1154
0.2480,-223.7623
0.2520,-227.1851
0.2560,-227.8268
0.2600,-226.9711
0.2640,-224.8319
0.2680,-227.6129
0.2720,-226.7572
0.2760,-225.9015
0.2800,-225.6876
0.2840,-225.0459
0.2880,-229.1104
0.2920,-225.0459
0.2960,-223.7623
0.3000,-224.6180
0.3040,-226.9711
0.3080,-228.0408
0.3120,-222.6927
0.3160,-223.3345
0.3200,-228.0408
0.3240,-229.5382
0.3280,-227.6129
0.3320,-223.3345
0.3360,-227.3990
0.3400,-228.2547
0.3440,-225.6876
0.3480,-223.1205
0.3520,-225.4737
0.3560,-228.6825
0.3600,-227.1851
0.3640,-224.4041
0.3680,-226.9711
0.3720,-227.3990
0.3760,-226.9711
0.3800,-225.4737
0.3840,-223.7623
0.3880,-226.1154
0.3920,-224.8319
0.3960,-222.4788
0.4000,-224.6180
0.4040,-227.8268
0.4080,-227.8268
0.4120,-223.7623
0.4160,-221.8370
0.4200,-226.3294
0.4240,-227.1851
