Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,My Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
0.0000,0.8866
0.0040,0.8866
0.0080,0.8866
0.0120,1.7731
0.0160,5.3194
0.0200,12.4118
0.0240,20.3909
0.0280,26.5968
0.0320,29.2565
0.0360,31.0296
0.0400,31.9162
0.0440,36.3490
0.0480,50.5339
0.0520,54.9667
0.0560,54.9667
0.0600,58.5130
0.0640,61.1727
0.0680,60.2861
0.0720,66.4920
0.0760,72.6979
0.0800,75.3576
0.0840,79.7904
0.0880,78.9039
0.0920,78.0173
0.0960,82.4501
0.1000,84.2232
0.1040,85.9964
0.1080,90.4292
0.1120,90.4292
0.1160,89.5426
0.1200,91.3157
0.1240,94.8620
0.1280,94.8620
0.1320,95.7485
0.1360,99.2948
0.1400,98.4082
0.1440,98.4082
0.1480,100.1813
0.1520,102.8410
0.1560,101.9544
0.1600,103.7276
0.1640,104.6141
0.1680,103.7276
0.1720,103.7276
0.1760,104.6141
0.1800,108.1604
0.1840,109.9335
0.1880,109.9335
0.1920,110.8200
0.1960,111.7066
0.2000,110.8200
0.2040,111.7066
0.2080,112.5932
0.2120,113.4797
0.2160,113.4797
0.2200,113.4797
0.2240,113.4797
0.2280,115.2529
0.2320,115.2529
0.2360,117.0260
0.2400,115.2529
0.2440,117.0260
0.2480,118.7991
0.2520,118.7991
0.2560,117.9125
0.2600,120.5722
0.2640,121.4588
0.2680,120.5722
0.2720,120.5722
0.2760,121.4588
0.2800,125.0050
0.2840,123.2319
0.2880,123.2319
0.2920,124.1185
0.2960,126.7781
0.3000,126.7781
0.3040,127.6647
0.3080,126.7781
0.3120,127.6647
0.3160,129.4378
0.3200,128.5513
0.3240,128.5513
0.3280,131.2109
0.3320,131.2109
0.3360,131.2109
0.3400,130.3244
0.3440,132.0975
0.3480,132.9841
0.3520,132.0975
0.3560,132.9841
0.3600,133.8706
0.3640,135.6437
0.3680,134.7572
0.3720,134.7572
0.3760,134.7572
0.3800,137.4169
0.3840,138.3034
0.3880,137.4169
0.3920,139.1900
0.3960,138.3034
0.4000,138.3034
0.4040,139.1900
0.4080,140.9631
0.4120,140.9631
0.4160,140.0765
0.4200,141.8497
0.4240,141.8497
0.4280,142.7362
0.4320,142.7362
0.4360,142.7362
0.4400,143.6228
0.4440,143.6228
0.4480,143.6228
0.4520,145.3959
0.4560,145.3959
0.4600,146.2825
0.4640,147.1690
0.4680,148.0556
