Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Px Def.1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,mm
0.0000,-0.0093
0.0040,-0.0093
0.0080,0.0000
0.0120,0.0000
0.0160,-0.0093
0.0200,0.0000
0.0240,0.0000
0.0280,0.0000
0.0320,0.0000
0.0360,0.0000
0.0400,0.0093
0.0440,0.0000
0.0480,0.0000
0.0520,0.0000
0.0560,0.0000
0.0600,0.0000
0.0640,0.0093
0.0680,-0.0093
0.0720,0.0000
0.0760,0.0000
0.0800,0.0000
0.0840,-0.0093
0.0880,0.0000
0.0920,0.0000
0.0960,0.0093
0.1000,0.0093
0.1040,0.0000
0.1080,0.0000
0.1120,0.0093
0.1160,0.0093
0.1200,0.0093
0.1240,0.0093
0.1280,0.0093
0.1320,0.0093
0.1360,0.0186
0.1400,0.0093
0.1440,0.0093
0.1480,0.0186
0.1520,0.0186
0.1560,0.0186
0.1600,0.0186
0.1640,0.0186
0.1680,0.0186
0.1720,0.0186
0.1760,0.0186
0.1800,0.0186
0.1840,0.0186
0.1880,0.0279
0.1920,0.0279
0.1960,0.0279
0.2000,0.0186
0.2040,0.0279
0.2080,0.0279
0.2120,0.0279
0.2160,0.0372
0.2200,0.0372
0.2240,0.0465
0.2280,0.0465
0.2320,0.0372
0.2360,0.0558
0.2400,0.0465
0.2440,0.0465
0.2480,0.0558
0.2520,0.0558
0.2560,0.0558
0.2600,0.0651
0.2640,0.0743
0.2680,0.0743
0.2720,0.0743
0.2760,0.0929
0.2800,0.0836
0.2840,0.0836
0.2880,0.0929
0.2920,0.0929
0.2960,0.0929
0.3000,0.0929
0.3040,0.1115
0.3080,0.1115
0.3120,0.1115
0.3160,0.1208
0.3200,0.1208
0.3240,0.1208
0.3280,0.1208
0.3320,0.1301
0.3360,0.1301
0.3400,0.1301
0.3440,0.1301
0.3480,0.1394
0.3520,0.1394
0.3560,0.1487
0.3600,0.1487
0.3640,0.1487
0.3680,0.1487
0.3720,0.1580
0.3760,0.1673
0.3800,0.1673
0.3840,0.1673
0.3880,0.1766
0.3920,0.1766
0.3960,0.1859
0.4000,0.1952
0.4040,0.1952
0.4080,0.1952
0.4120,0.1952
0.4160,0.1952
0.4200,0.2044
0.4240,0.2137
0.4280,0.2137
0.4320,0.2230
0.4360,0.2137
0.4400,0.2230
0.4440,0.2230
0.4480,0.2323
0.4520,0.2230
0.4560,0.2416
0.4600,0.2416
0.4640,0.2416
0.4680,0.2416
