Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Calculation:,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw
Filter:,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Data Description:,Az Def.1,Az Def.2,Fx Load1,Fx Load2,Fy Load1,Fy Load2,Fz Load1,Fz Load2,Mx Load1,Mx Load2,My Load1,My Load2,Mz Load1,Mz Load2,Px Def.1,Px Def.2,Pz Def.1,Pz Def.2,Tire Inf.1,Tire Inf.2
SEC,deg,deg,N,N,N,N,N,N,Nm,Nm,Nm,Nm,Nm,Nm,mm,mm,mm,mm,kpa,kpa
0.0000,-0.0004,-0.0004,-1.6533,14.8794,236.7459,218.5347,1920.1046,1923.5031,-250.7165,-241.7318,-1.7731,0.8866,-5.2091,-3.9069,-0.0093,-0.4832,5.9272,6.1224,262.5715,260.9385
0.0040,-0.0004,-0.0004,1.6533,9.9196,238.4015,246.6793,1930.2998,1909.9094,-245.7963,-245.5824,-0.8866,0.8866,-4.5580,-6.5114,-0.0093,-0.4739,5.9272,6.1224,263.3090,261.4126
0.0080,-0.0004,-0.0065,8.2663,3.3065,213.5680,243.3682,1940.4951,1906.5110,-245.1545,-246.8659,-0.8866,0.8866,-1.3023,-9.1160,0.0000,-0.4739,5.9028,6.1224,262.0447,262.7296
0.0120,-0.0004,-0.0004,3.3065,14.8794,226.8125,226.8125,1930.2998,1916.7062,-245.1545,-241.7318,-0.8866,1.7731,-3.2557,-6.5114,0.0000,-0.4647,5.9272,6.1224,261.4126,262.5189
0.0160,0.0057,0.0057,-3.3065,36.3719,243.3682,226.8125,1920.1046,1920.1046,-248.7912,-243.0153,-1.7731,5.3194,-5.2091,-2.6046,-0.0093,-0.4554,5.9272,6.0980,262.3608,261.0966
0.0200,-0.0004,-0.0004,0.0000,38.0252,236.7459,225.1570,1933.6982,1899.7141,-244.7267,-245.3684,-0.8866,12.4118,-5.8603,-13.0229,0.0000,-0.4368,5.9272,6.1224,263.0983,261.3599
0.0240,-0.0004,-0.0004,8.2663,41.3317,201.9790,240.0571,1937.0967,1909.9094,-247.0798,-239.5925,-0.8866,20.3909,-1.9534,-16.2786,0.0000,-0.4275,5.9272,6.1224,262.0974,262.6242
0.0280,-0.0004,-0.0065,4.9598,120.6885,220.1903,248.3349,1930.2998,1940.4951,-248.1494,-236.1698,-0.8866,26.5968,-2.6046,-7.1626,0.0000,-0.4089,5.9272,6.0980,261.3599,262.6242
0.0320,-0.0004,0.0057,-1.6533,99.1960,245.0237,183.7678,1920.1046,1889.5188,-251.1443,-238.5229,-2.6597,29.2565,-5.8603,-18.2320,0.0000,-0.3810,5.9272,6.0980,262.0974,261.1492
0.0360,-0.0004,-0.0004,0.0000,47.9448,253.3016,200.3235,1923.5031,1909.9094,-249.6469,-241.7318,-1.7731,31.0296,-5.2091,-20.8366,0.0000,-0.3717,5.9272,6.1224,263.2563,261.2546
0.0400,-0.0065,-0.0004,6.6131,140.5277,220.1903,284.7574,1940.4951,1926.9014,-244.9406,-240.4482,-0.8866,31.9162,-2.6046,-13.0229,0.0093,-0.3531,5.9028,6.0980,262.6242,262.3081
0.0440,-0.0065,-0.0004,9.9196,145.4875,230.1237,216.8791,1933.6982,1886.1205,-246.0102,-235.5280,-0.8866,36.3490,-0.6511,-20.8366,0.0000,-0.3345,5.9028,6.1224,261.3073,262.8349
0.0480,-0.0004,-0.0065,-1.6533,84.3166,241.7126,167.2122,1926.9014,1950.6903,-247.0798,-234.0306,-0.8866,50.5339,-5.2091,-24.7434,0.0000,-0.3253,5.9272,6.0980,261.8867,261.4653
0.0520,-0.0004,-0.0004,-1.6533,171.9398,241.7126,233.4348,1923.5031,1943.8934,-249.4330,-239.1647,-1.7731,54.9667,-5.2091,-20.1854,0.0000,-0.3067,5.9272,6.1224,263.4144,260.9385
0.0560,-0.0004,-0.0004,4.9598,206.6584,226.8125,218.5347,1930.2998,1862.3315,-246.8659,-236.3837,-1.7731,54.9667,-2.6046,-26.6969,0.0000,-0.2881,5.9028,6.1224,262.8349,262.3608
0.0600,-0.0004,-0.0004,8.2663,152.1006,221.8458,193.7012,1937.0967,1899.7141,-246.2241,-235.5280,-0.8866,58.5130,-1.3023,-24.7434,0.0000,-0.2695,5.9272,6.0980,261.4653,262.7296
0.0640,-0.0004,-0.0004,0.0000,180.2062,231.7792,238.4015,1926.9014,1940.4951,-247.9355,-236.5976,-0.8866,61.1727,-5.2091,-22.1389,0.0093,-0.2509,5.9272,6.1224,261.6760,261.6760
0.0680,-0.0004,-0.0004,-4.9598,200.0453,251.6460,218.5347,1916.7062,1930.2998,-250.9304,-234.2445,-0.8866,60.2861,-8.4649,-28.6503,-0.0093,-0.2509,5.9272,6.1224,263.0983,260.9385
0.0720,-0.0004,-0.0004,1.6533,175.2464,228.4681,198.6679,1937.0967,1920.1046,-243.6570,-235.7420,-0.8866,66.4920,-5.8603,-27.9992,0.0000,-0.2230,5.9028,6.0980,262.9930,261.9394
0.0760,-0.0004,-0.0004,8.2663,223.1911,220.1903,243.3682,1940.4951,1920.1046,-244.7267,-235.5280,-0.8866,72.6979,-1.9534,-27.3480,0.0000,-0.2230,5.9028,6.1224,261.5180,262.9403
0.0800,-0.0004,-0.0004,6.6131,267.8293,213.5680,178.8011,1926.9014,1882.7220,-248.7912,-232.9610,-0.8866,75.3576,-3.2557,-27.3480,0.0000,-0.1952,5.9028,6.1224,261.5180,262.0447
0.0840,-0.0004,-0.0004,-3.3065,239.7238,241.7126,177.1456,1916.7062,1892.9174,-249.8608,-236.3837,-0.8866,79.7904,-7.1626,-27.3480,-0.0093,-0.1952,5.9272,6.1224,262.8349,260.7805
0.0880,-0.0004,-0.0004,6.6131,223.1911,226.8125,241.7126,1926.9014,1943.8934,-247.2937,-234.8862,-0.8866,78.9039,-3.2557,-31.9060,0.0000,-0.1766,5.9272,6.1224,263.1510,261.7814
0.0920,-0.0004,-0.0004,14.8794,224.8444,211.9124,216.8791,1940.4951,1933.6982,-244.0849,-229.7521,0.8866,78.0173,-1.3023,-35.1617,0.0000,-0.1673,5.9272,6.1224,261.7814,262.9930
